customer_id,age,employment_status,income,loan_amount,loan_tenure,credit_score,credit_utilization,repayment_history,num_defaults,debt_to_income_ratio,risk_label
CUST00001,59,Unemployed,22792.26,136461.22,120,658.0,0.5138,17.0,1,5.0,High
CUST00002,49,Retired,26966.36,73772.1,60,655.0,0.1854,19.0,1,2.7357,Medium
CUST00003,35,Employed,82733.2,25669.1,84,741.0,0.3159,16.0,1,0.3103,Low
CUST00004,63,Employed,33179.85,46947.37,60,598.0,0.1967,21.0,1,1.4149,Medium
CUST00005,28,Self-Employed,110189.46,102468.33,48,660.0,0.2052,16.0,4,0.9299,Medium
CUST00006,41,Employed,65441.63,21256.79,84,644.0,0.1979,21.0,2,0.3248,Low
CUST00007,59,Employed,53050.18,38602.7,84,704.0,0.1892,19.0,2,0.7277,Low
CUST00008,39,Employed,61613.47,149387.68,24,794.0,0.2563,18.0,0,2.4246,Low
CUST00009,43,Employed,61709.1,5802.51,48,699.0,0.1516,18.0,1,0.094,Low
CUST00010,31,Employed,,27066.58,120,694.0,0.6252,20.0,0,0.3336,Low
CUST00011,31,Employed,23264.96,127334.45,36,568.0,0.422,15.0,1,5.0,High
CUST00012,44,Employed,53741.61,19700.39,24,526.0,0.5841,22.0,1,0.3666,Low
CUST00013,56,Employed,90092.73,9877.95,84,670.0,0.1647,22.0,1,0.1096,Low
CUST00014,60,Self-Employed,60344.08,22590.28,120,635.0,0.2483,,2,0.3744,Low
CUST00015,44,Employed,90425.73,105571.59,120,686.0,0.0973,17.0,3,1.1675,Medium
CUST00016,23,Self-Employed,19512.34,149001.03,48,600.0,0.1497,18.0,1,5.0,High
CUST00017,42,Employed,,90642.16,24,762.0,0.4353,17.0,2,2.0919,Medium
CUST00018,22,Employed,78217.94,23025.86,84,554.0,0.1546,21.0,1,0.2944,Low
CUST00019,44,Self-Employed,99502.69,31647.92,60,634.0,0.0345,22.0,0,0.3181,Low
CUST00020,64,Employed,110361.23,82963.89,36,618.0,0.1203,15.0,0,0.7517,Low
CUST00021,50,Employed,81043.29,108770.44,120,737.0,0.3317,19.0,0,1.3421,Low
CUST00022,58,Employed,75467.35,101122.27,24,631.0,0.325,16.0,0,1.3399,Low
CUST00023,22,Unemployed,19960.23,88335.34,12,603.0,0.3344,17.0,0,4.4256,High
CUST00024,41,Employed,74376.91,148009.12,36,656.0,0.2888,19.0,1,1.99,Medium
CUST00025,53,Employed,73836.02,33714.92,60,586.0,,19.0,2,0.4566,Low
CUST00026,32,Self-Employed,59158.41,30071.08,60,648.0,0.0566,20.0,0,0.5083,Low
CUST00027,42,Employed,75709.46,129563.88,48,639.0,0.5167,,2,1.7113,Medium
CUST00028,64,Employed,83969.33,47169.15,120,850.0,0.4072,18.0,0,0.5617,Low
CUST00029,45,Employed,86206.56,53216.32,84,613.0,0.2007,17.0,2,0.6173,Medium
CUST00030,47,Self-Employed,57874.28,84556.88,12,642.0,0.7301,19.0,2,1.461,Medium
CUST00031,62,Employed,95161.27,60284.85,24,667.0,0.5271,22.0,1,0.6335,Low
