customer_id,age,employment_status,income,loan_amount,loan_tenure,credit_score,credit_utilization,repayment_history,num_defaults,debt_to_income_ratio,risk_label,monthly_emi,emi_to_income_ratio,risk_score_numeric
CUST00001,59,Unemployed,22792.26,136461.22,120,658,0.5138,17,1,5.0,High,1137.18,0.5987,2
CUST00002,49,Retired,26966.36,73772.1,60,655,0.1854,19,1,2.7357,Medium,1229.54,0.5471,1
CUST00003,35,Employed,82733.2,25669.1,84,741,0.3159,16,1,0.3103,Low,305.58,0.0443,0
CUST00004,63,Employed,33179.85,46947.37,60,598,0.1967,21,1,1.4149,Medium,782.46,0.283,1
CUST00005,28,Self-Employed,110189.46,102468.33,48,660,0.2052,16,4,0.9299,Medium,2134.76,0.2325,1
CUST00006,41,Employed,65441.63,21256.79,84,644,0.1979,21,2,0.3248,Low,253.06,0.0464,0
CUST00007,59,Employed,53050.18,38602.7,84,704,0.1892,19,2,0.7277,Low,459.56,0.104,0
CUST00010,31,Employed,59158.41,27066.58,120,694,0.6252,20,0,0.3336,Low,225.55,0.0458,0
CUST00011,31,Employed,23264.96,127334.45,36,568,0.422,15,1,5.0,High,3537.07,1.8244,2
CUST00012,44,Employed,53741.61,19700.39,24,526,0.5841,22,1,0.3666,Low,820.85,0.1833,0
CUST00013,56,Employed,90092.73,9877.95,84,670,0.1647,22,1,0.1096,Low,117.59,0.0157,0
CUST00014,60,Self-Employed,60344.08,22590.28,120,635,0.2483,19,2,0.3744,Low,188.25,0.0374,0
CUST00015,44,Employed,90425.73,105571.59,120,686,0.0973,17,3,1.1675,Medium,879.76,0.1167,1
CUST00017,42,Employed,59158.41,90642.16,24,762,0.4353,17,2,2.0919,Medium,3776.76,0.7661,1
CUST00018,22,Employed,78217.94,23025.86,84,554,0.1546,21,1,0.2944,Low,274.12,0.0421,0
CUST00019,44,Self-Employed,99502.69,31647.92,60,634,0.0345,22,0,0.3181,Low,527.47,0.0636,0
CUST00020,64,Employed,110361.23,82963.89,36,618,0.1203,15,0,0.7517,Low,2304.55,0.2506,0
CUST00021,50,Employed,81043.29,108770.44,120,737,0.3317,19,0,1.3421,Low,906.42,0.1342,0
CUST00022,58,Employed,75467.35,101122.27,24,631,0.325,16,0,1.3399,Low,4213.43,0.67,0
CUST00023,22,Unemployed,19960.23,88335.34,12,603,0.3344,17,0,4.4256,High,7361.28,4.4256,2
CUST00024,41,Employed,74376.91,148009.12,36,656,0.2888,19,1,1.99,Medium,4111.36,0.6633,1
CUST00025,53,Employed,73836.02,33714.92,60,586,0.2601,19,2,0.4566,Low,561.92,0.0913,0
CUST00026,32,Self-Employed,59158.41,30071.08,60,648,0.0566,20,0,0.5083,Low,501.18,0.1017,0
CUST00027,42,Employed,75709.46,129563.88,48,639,0.5167,19,2,1.7113,Medium,2699.25,0.4278,1
CUST00028,64,Employed,83969.33,47169.15,120,850,0.4072,18,0,0.5617,Low,393.08,0.0562,0
CUST00029,45,Employed,86206.56,53216.32,84,613,0.2007,17,2,0.6173,Medium,633.53,0.0882,1
CUST00030,47,Self-Employed,57874.28,84556.88,12,642,0.7301,19,2,1.461,Medium,7046.41,1.461,1
CUST00031,62,Employed,95161.27,60284.85,24,667,0.5271,22,1,0.6335,Low,2511.87,0.3168,0
CUST00032,48,Employed,87457.84,46707.86,120,671,0.0375,21,0,0.5341,Low,389.23,0.0534,0
CUST00033,36,Employed,77570.36,137990.41,48,733,0.2056,22,0,1.7789,Low,2874.8,0.4447,0
CUST00034,35,Unemployed,15657.77,23744.76,60,803,0.5517,18,1,1.5165,Medium,395.75,0.3033,1
CUST00035,64,Employed,42134.63,63622.02,24,585,0.1344,19,0,1.51,Low,2650.92,0.755,0
CUST00037,57,Employed,65935.07,122080.78,60,636,0.2601,19,0,1.8515,Low,2034.68,0.3703,0
CUST00038,27,Retired,23349.83,29420.73,12,676,0.2657,20,1,1.26,Low,2451.73,1.26,0
CUST00039,41,Retired,39838.62,117083.55,36,738,0.0642,18,0,2.9389,Medium,3252.32,0.9796,1
CUST00040,29,Employed,44335.87,26547.45,24,780,0.0314,20,1,0.5988,Low,1106.14,0.2994,0
CUST00041,59,Employed,61115.58,65427.13,12,719,0.0386,19,2,1.0705,Medium,5452.26,1.0705,1
CUST00042,38,Employed,45062.85,110586.82,84,675,0.2601,20,1,2.4541,Medium,1316.51,0.3506,1
CUST00043,24,Employed,49037.85,44267.28,120,732,0.2148,22,0,0.9027,Low,368.89,0.0903,0
CUST00044,45,Self-Employed,73920.34,50517.98,60,582,0.2683,21,2,0.6834,Medium,841.97,0.1367,1
CUST00045,34,Employed,46083.48,101761.76,60,591,0.0892,15,0,2.2082,Medium,1696.03,0.4416,1
CUST00046,29,Employed,49551.51,32216.64,12,663,0.4551,21,0,0.6502,Low,2684.72,0.6502,0
CUST00047,46,Employed,92264.65,143008.74,84,743,0.3371,22,0,1.55,Low,1702.48,0.2214,0
CUST00048,22,Unemployed,15033.98,32374.21,24,626,0.0743,20,0,2.1534,Medium,1348.93,1.0767,1
CUST00049,40,Employed,80278.87,113749.34,60,634,0.4177,17,1,1.4169,Medium,1895.82,0.2834,1
CUST00050,48,Employed,64317.54,121376.84,84,491,0.3302,20,0,1.8871,Medium,1444.96,0.2696,1
CUST00051,27,Employed,85222.1,59283.71,24,841,0.1373,20,1,0.6956,Low,2470.15,0.3478,0
CUST00052,64,Unemployed,25926.92,27654.68,12,631,0.2489,20,1,1.0666,Medium,2304.56,1.0666,1
CUST00054,55,Employed,51916.72,147890.3,48,663,0.4808,19,0,2.8486,Medium,3081.05,0.7122,1
CUST00055,34,Employed,56159.26,110184.44,48,687,0.2218,19,2,1.962,Medium,2295.51,0.4905,1
CUST00056,37,Employed,86162.6,70256.88,60,631,0.4104,18,0,0.8154,Low,1170.95,0.1631,0
CUST00057,56,Employed,54665.33,42315.72,36,577,0.2977,21,0,0.7741,Low,1175.44,0.258,0
CUST00058,60,Retired,49189.16,7741.97,60,721,0.2981,20,0,0.1574,Low,129.03,0.0315,0
CUST00059,24,Self-Employed,84320.78,102217.26,60,712,0.6341,18,0,1.2122,Low,1703.62,0.2424,0
CUST00060,22,Employed,96188.11,143752.87,60,692,0.0942,20,0,1.4945,Low,2395.88,0.2989,0
CUST00061,26,Unemployed,32369.62,20492.27,12,588,0.1046,21,0,0.6331,Low,1707.69,0.6331,0
CUST00062,62,Employed,71553.1,114401.23,60,601,0.2483,16,1,1.5988,Medium,1906.69,0.3198,1
CUST00063,24,Self-Employed,65215.68,27219.35,60,648,0.0666,21,1,0.4174,Low,453.66,0.0835,0
CUST00064,49,Unemployed,14731.05,119855.25,12,616,0.1847,22,0,5.0,High,9987.94,8.1362,2
CUST00065,38,Employed,75735.98,58733.06,60,700,0.5752,18,0,0.7755,Low,978.88,0.1551,0
CUST00066,46,Self-Employed,38652.37,108248.93,48,618,0.2601,21,0,2.8006,Medium,2255.19,0.7001,1
CUST00067,64,Employed,70360.64,139310.95,48,574,0.4932,20,0,1.98,Medium,2902.31,0.495,1
CUST00068,54,Employed,31348.26,94920.18,120,683,0.1856,22,0,3.0279,Medium,791.0,0.3028,1
CUST00069,30,Employed,53918.64,138501.36,84,840,0.1434,22,0,2.5687,Low,1648.83,0.367,0
CUST00070,56,Employed,64771.32,39078.53,120,587,0.3205,19,3,0.6033,Medium,325.65,0.0603,1
CUST00071,34,Self-Employed,88534.58,146829.4,120,593,0.3453,20,4,1.6584,High,1223.58,0.1658,2
CUST00072,51,Retired,41764.09,131562.97,60,640,0.3318,19,0,3.1501,Medium,2192.72,0.63,1
CUST00073,35,Self-Employed,95028.2,20598.13,12,710,0.1956,15,0,0.2168,Low,1716.51,0.2168,0
CUST00074,28,Unemployed,28787.04,64963.26,60,695,0.0993,20,0,2.2567,Low,1082.72,0.4513,0
CUST00075,34,Unemployed,12130.13,139419.28,60,640,0.3143,19,3,5.0,High,2323.65,2.2987,2
CUST00076,43,Employed,49929.66,16326.73,84,615,0.3159,19,0,0.327,Low,194.37,0.0467,0
CUST00077,60,Employed,86939.57,70795.6,24,817,0.4491,17,0,0.8143,Low,2949.82,0.4072,0
CUST00078,41,Employed,54538.97,109921.1,120,741,0.3892,18,1,2.0155,Medium,916.01,0.2015,1
CUST00079,36,Self-Employed,44747.88,9849.86,84,788,0.092,19,1,0.2201,Low,117.26,0.0314,0
CUST00080,38,Retired,41744.43,114160.48,36,706,0.1921,21,0,2.7347,Medium,3171.12,0.9116,1
CUST00081,44,Employed,32674.31,57374.37,12,642,0.2476,20,2,1.7559,Medium,4781.2,1.7559,1
CUST00082,46,Self-Employed,69278.1,41158.91,120,681,0.4231,20,1,0.5941,Low,342.99,0.0594,0
CUST00083,45,Self-Employed,65927.65,88515.98,36,794,0.2484,14,0,1.3426,Low,2458.78,0.4475,0
CUST00084,61,Employed,59158.41,83928.03,24,691,0.1153,19,0,1.3185,Low,3497.0,0.7093,0
CUST00085,49,Employed,70129.24,131721.2,36,512,0.3988,20,4,1.8783,High,3658.92,0.6261,2
CUST00086,35,Employed,63250.52,103020.43,60,762,0.1956,21,1,1.6288,Low,1717.01,0.3258,0
CUST00087,21,Employed,111585.06,66170.33,48,769,0.2601,21,0,0.593,Low,1378.55,0.1483,0
